office,year,state,roster_n,captured_n,capture_pct
senate,2004,CT,2,2,100.0
senate,2004,DE,2,1,50.0
senate,2004,FL,7,6,85.7
senate,2004,GA,5,2,40.0
senate,2004,HI,1,0,0.0
senate,2004,IA,1,0,0.0
senate,2004,ID,1,1,100.0
senate,2004,IL,9,6,66.7
senate,2004,IN,4,3,75.0
senate,2004,KS,2,1,50.0
senate,2004,KY,3,2,66.7
senate,2004,LA,4,3,75.0
senate,2004,MA,3,2,66.7
senate,2004,MD,2,2,100.0
senate,2004,ME,3,0,0.0
senate,2004,MI,1,0,0.0
senate,2004,MN,2,1,50.0
senate,2004,MO,2,2,100.0
senate,2004,MS,2,1,50.0
senate,2004,MT,1,0,0.0
senate,2004,NC,3,2,66.7
senate,2004,ND,1,1,100.0
senate,2004,NE,1,1,100.0
senate,2004,NH,3,2,66.7
senate,2004,NJ,2,0,0.0
senate,2004,NM,2,2,100.0
senate,2004,NV,2,1,50.0
senate,2004,NY,5,4,80.0
senate,2004,OK,5,5,100.0
senate,2004,OR,2,0,0.0
senate,2004,PA,5,3,60.0
senate,2004,RI,2,2,100.0
senate,2004,SC,4,2,50.0
senate,2004,SD,1,0,0.0
senate,2004,TN,1,0,0.0
senate,2004,TX,3,2,66.7
senate,2004,UT,3,1,33.3
senate,2004,VA,1,1,100.0
senate,2004,VT,1,1,100.0
senate,2004,WA,5,4,80.0
senate,2004,WI,2,0,0.0
senate,2004,WY,1,0,0.0
senate,2006,AK,3,2,66.7
senate,2006,AL,2,0,0.0
senate,2006,AR,3,0,0.0
senate,2006,AZ,4,4,100.0
senate,2006,CA,6,3,50.0
senate,2006,CO,2,1,50.0
senate,2006,CT,5,1,20.0
senate,2006,DE,4,3,75.0
senate,2006,FL,9,6,66.7
senate,2006,GA,6,2,33.3
senate,2006,HI,3,2,66.7
senate,2006,IA,1,1,100.0
senate,2006,ID,1,0,0.0
senate,2006,IL,9,5,55.6
senate,2006,IN,4,1,25.0
senate,2006,KS,2,1,50.0
senate,2006,KY,3,1,33.3
senate,2006,LA,4,3,75.0
senate,2006,MA,5,4,80.0
senate,2006,MD,9,7,77.8
senate,2006,ME,6,3,50.0
senate,2006,MI,5,4,80.0
senate,2006,MN,5,3,60.0
senate,2006,MO,3,3,100.0
senate,2006,MS,5,3,60.0
senate,2006,MT,5,4,80.0
senate,2006,NC,3,1,33.3
senate,2006,ND,2,1,50.0
senate,2006,NE,3,2,66.7
senate,2006,NH,3,1,33.3
senate,2006,NJ,6,2,33.3
senate,2006,NM,4,4,100.0
senate,2006,NV,4,2,50.0
senate,2006,NY,12,9,75.0
senate,2006,OH,4,2,50.0
senate,2006,OK,5,3,60.0
senate,2006,OR,2,0,0.0
senate,2006,PA,6,3,50.0
senate,2006,RI,6,5,83.3
senate,2006,SC,4,3,75.0
senate,2006,SD,1,1,100.0
senate,2006,TN,5,4,80.0
senate,2006,TX,5,5,100.0
senate,2006,UT,5,3,60.0
senate,2006,VA,3,3,100.0
senate,2006,VT,2,1,50.0
senate,2006,WA,7,5,71.4
senate,2006,WI,2,0,0.0
senate,2006,WV,5,4,80.0
senate,2006,WY,2,1,50.0
senate,2008,AK,8,7,87.5
senate,2008,AL,4,1,25.0
senate,2008,AR,3,1,33.3
senate,2008,AZ,5,3,60.0
senate,2008,CA,3,2,66.7
senate,2008,CO,5,4,80.0
senate,2008,CT,4,3,75.0
senate,2008,DE,5,2,40.0
senate,2008,FL,9,5,55.6
senate,2008,GA,7,6,85.7
senate,2008,HI,4,3,75.0
senate,2008,IA,3,3,100.0
senate,2008,ID,11,7,63.6
senate,2008,IL,9,7,77.8
senate,2008,IN,3,0,0.0
senate,2008,KS,5,4,80.0
senate,2008,KY,9,8,88.9
senate,2008,LA,4,4,100.0
senate,2008,MA,6,3,50.0
senate,2008,MD,8,7,87.5
senate,2008,ME,6,5,83.3
senate,2008,MI,5,5,100.0
senate,2008,MN,10,10,100.0
senate,2008,MO,3,2,66.7
senate,2008,MS,7,5,71.4
senate,2008,MT,5,2,40.0
senate,2008,NC,6,4,66.7
senate,2008,ND,2,1,50.0
senate,2008,NE,8,5,62.5
senate,2008,NH,6,4,66.7
senate,2008,NJ,8,6,75.0
senate,2008,NM,8,5,62.5
senate,2008,NV,4,3,75.0
senate,2008,NY,10,5,50.0
senate,2008,OH,1,1,100.0
senate,2008,OK,6,5,83.3
senate,2008,OR,4,4,100.0
senate,2008,PA,6,3,50.0
senate,2008,RI,6,5,83.3
senate,2008,SC,7,5,71.4
senate,2008,SD,2,2,100.0
senate,2008,TN,9,6,66.7
senate,2008,TX,14,10,71.4
senate,2008,UT,3,3,100.0
senate,2008,VA,6,4,66.7
senate,2008,VT,1,1,100.0
senate,2008,WA,5,3,60.0
senate,2008,WI,2,0,0.0
senate,2008,WV,5,4,80.0
senate,2008,WY,4,2,50.0
senate,2010,AK,10,4,40.0
senate,2010,AL,4,1,25.0
senate,2010,AR,13,8,61.5
senate,2010,AZ,9,8,88.9
senate,2010,CA,8,5,62.5
senate,2010,CO,13,2,15.4
senate,2010,CT,11,4,36.4
senate,2010,DE,6,1,16.7
senate,2010,FL,21,9,42.9
senate,2010,GA,7,2,28.6
senate,2010,HI,3,2,66.7
senate,2010,IA,6,5,83.3
senate,2010,ID,10,5,50.0
senate,2010,IL,23,14,60.9
