candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Michael Siegel,TX,10.0,house,2018,D,2,20181119084633,18,2,homepage,https://www.siegelfortexas.org,5475,715
Jeff Denham,CA,10.0,house,2018,R,2,20181108041956,49,8,homepage;issues;other,http://denham.house.gov,36791,4553
Michael A Steinberg,FL,20.0,house,2018,D,2,20180319214637,1,2,homepage;other,https://www.steinbergforus.com,5065,429
Dana Balter,NY,24.0,house,2018,D,2,20181023201616,41,16,action;biography;homepage;issues;news;other,https://electdanabalter.com,94233,13601
David Balat,TX,2.0,house,2018,R,2,20180413113547,9,9,action;biography;endorsements;homepage;issues;news;other,https://www.davidbalat.com,22930,3086
Sapan M.D. J.D. Shah,IL,10.0,house,2018,R,2,20180329194406,4,3,action;biography;homepage,https://drshahforcongress.com,14346,2087
Virginia Ann Foxx,NC,5.0,house,2018,R,2,20181230172627,61,17,action;biography;homepage;news;other,https://www.virginiafoxx.com,144843,21741
James Mcdermott,WA,7.0,house,2018,D,2,20180905201007,4,1,homepage,http://www.mcdermottforcongress.com,637,65
Bill Spadea,NJ,12.0,house,2018,R,2,20181226193930,3,77,biography;homepage;news;other,https://www.billspadea.com,477977,70168
Larry Chubb,IN,1.0,house,2018,D,2,20180415190354,10,3,homepage,https://chubbforcongress.us,9177,1319
Terrance John (Tj) Cox,CA,21.0,house,2018,D,2,20180726020153,21,4,homepage;other,https://www.tjcoxforcongress.com,13706,1898
Christopher U Md Cates,GA,9.0,house,2018,R,2,20180325095839,1,2,homepage;other,https://www.catesforcongress.com,5070,429
Joan Greene,AZ,5.0,house,2018,D,2,20180107082510,53,11,action;homepage;other,https://joangreeneaz.com,17841,2360
Steve Watkins,KS,2.0,house,2018,R,2,20181219194354,123,1,homepage,https://www.steveforkansas.com,1119,128
Pam Keith,FL,18.0,house,2018,D,2,20180315081045,23,13,homepage;issues;news;other,http://electpamkeith.com,48050,7166
Leann Jacobsen,IA,4.0,house,2018,D,2,20180512211541,4,2,biography;homepage,https://www.leannjacobsen.com,3860,592
Barbara Cegavske,NV,4.0,house,2018,R,2,20180324133450,3,1,homepage,http://www.votebarbara.com/,6482,976
Denny Wolff,PA,9.0,house,2018,D,2,20180913040102,22,1,homepage,https://dennywolff.com/,4150,602
